name,calories,protein,fat,sodium,fiber,carbohydrates,sugars,vitamins
Corn Flakes,100.0,2.0,0.0,200.0,1.0,22.0,9.0,25.0
Frosted Flakes,105.0,2.0,0.0,210.0,1.0,23.0,12.0,25.0
Cheerios,120.0,3.0,2.0,210.9375,2.0,21.0,6.0,25.0
Rice Krispies,90.0,2.0,0.0,220.0,1.0,24.0,10.0,25.0
Special K,110.0,2.5,1.0,213.75,3.0,20.0,5.0,25.0
Cocoa Puffs,105.0,1.0,1.0,211.875,1.0,25.0,15.0,25.0
Fruit Loops,105.0,2.0,1.0,210.9375,2.0,22.666666666666668,12.0,25.0
Shredded Wheat,100.0,3.0,1.0,200.0,3.0,22.0,7.0,25.0
Honey Nut Cheerios,110.0,3.0,2.0,210.0,2.0,21.0,10.0,25.0
Raisin Bran,105.0,4.0,2.0,213.75,4.0,26.0,14.0,25.0
