Movie Name,Language,Genre,Rating,Review
12th Fail,Hindi,Biographical Drama,8.7,"Inspiring real-life story of perseverance, widely loved for authenticity."
RRR,Telugu,Action/Drama,8,Epic spectacle with breathtaking action and emotional storytelling.
Kumbalangi Nights,Malayalam,Family Drama,8.5,"Slice-of-life film about dysfunctional brothers, acclaimed for natural performances."
777 Charlie,Kannada,Adventure/Drama,8.7,"Heartwarming story of a man and his dog, celebrated for emotional depth."
Nayakan,Tamil,Crime/Drama,8.6,"Gangster epic inspired by real events, often compared to The Godfather."
Oppenheimer,English,Biographical Drama,8.4,Christopher Nolan’s gripping portrayal of J. Robert Oppenheimer and the atomic bomb.
Dune: Part Two,English,Sci-Fi/Adventure,8.6,"Visually stunning continuation of Frank Herbert’s saga, praised for scale and performances."
Barbie,English,Fantasy/Comedy,7,"A witty satire blending humor and social commentary, vibrant and entertaining."
Spider-Man: No Way Home,English,Superhero/Action,8.2,Thrilling multiverse adventure with nostalgia and emotional stakes.
The Batman,English,Crime/Action,7.8,"Dark, gritty detective story with a fresh take on Gotham’s vigilante."
